Ports	Services
2375	Docker
2376	Docker
4242	OpenTSDB
443	WebLogic,Shellshock,PeopleSoft,ApacheStruts,JBoss,Confluence,Jira,Bamboo,Bitbucket,Crowd,Crucible,Fisheye,Jenkins,HystrixDashboard,W3TotalCache,ApacheTomcat,FastCGI
6379	Redis
80	Confluence,Jira,Bamboo,Bitbucket,Crowd,Crucible,Fisheye,Jenkins,HystrixDashboard,W3TotalCache,ApacheTomcat,FastCGI
8080	Confluence,Jira,Bamboo,Bitbucket,Crowd,Crucible,Fisheye,Jenkins,HystrixDashboard,ApacheTomcat
8082	ApacheDruid
8443	Confluence,Jira,Bamboo,Bitbucket,Crowd,Crucible,Fisheye,ApacheTomcat
8500	HashicorpConsul
8501	HashicorpConsul
8888	ApacheDruid,Jenkins,Weblogic
8983	ApacheSolr
9121	GitlabPrometheusRedisExporter
9200	Elasticsearch
1090	JavaRMI
1098	JavaRMI
1099	JavaRMI
1199	JavaRMI
4443	JavaRMI
4444	JavaRMI
4445	JavaRMI
4446	JavaRMI
8999	JavaRMI
9010	JavaRMI
9999	JavaRMI
